uniqueReference,sdesc,fdesc
medieval_linen_braies,a $colour pair of linen braies,"These $colour linen braies are cut as loose under-breeches with a gathered waist, roomy seat, and short legs. The linen is light enough to sit beneath hose or trousers, with practical seams kept flat against the body. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_undertunic,a $colour linen undertunic,"This $colour linen undertunic is made from straight, plain linen panels, with narrow sleeves and small side openings for movement. The neck is simply finished and the hem is light enough to tuck beneath heavier layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_chemise,a $colour linen chemise,"This $colour linen chemise is made from long, plain linen panels, with narrow sleeves and small side openings for movement. The neck is simply finished and the hem is light enough to tuck beneath heavier layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_breastband,a $colour linen breastband,"This $colour linen breastband is a long folded strip of cloth meant to wrap firmly around the torso. The ends are narrow enough to tie without bulky knots, while the middle is broad and smooth against the body. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_plain_leather_belt,a plain leather belt,"This plain leather belt is a long strap of sturdy leather with a simple fastening and burnished edges. The surface is left unornamented, relying on the grain of the hide and the evenness of the cut for its appearance. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_iron_buckled_leather_belt,an iron-buckled leather belt,"This iron-buckled leather belt is a sturdy strap fitted with a dark iron buckle and a row of cleanly punched holes. The leather is thick enough to hold its shape around the waist, with burnished edges and visible stitching near the buckle fold. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_simple_woven_sash,a $colour woven sash,"This $colour woven sash is a long wool band with firm selvages and simple squared ends. It is made to wrap, knot, or girdle clothing without adding a hard buckle or metal fitting. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_woven_girdle,a fine $colour woven girdle,"This fine $colour woven girdle is a narrow wool band with firm edges and a smooth, even hand. It is long enough to wrap the waist and leave modest hanging ends, while the weave keeps it from twisting. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_soft_leather_shoes,a pair of soft leather shoes,"These soft leather shoes are low, flexible footwear with rounded toes and simple stitched uppers. The soles are sturdy enough for regular use without making the shoes stiff or high. Natural variations in the leather show along the seams, toe creases, and cut edges."
medieval_fine_leather_shoes,a pair of fine leather shoes,"These fine leather shoes are low, carefully shaped footwear with smooth uppers and neatly turned edges. The soles are firm but not heavy, and the stitching is kept regular around the heel and vamp. Natural variations in the leather show softly across the polished surface and flexed creases."
medieval_ankle_leather_boots,a pair of ankle leather boots,"These ankle leather boots are sturdy low boots with firm soles, rounded toes, and shafts that cover the ankle. The uppers are stitched from practical leather panels, with the seams placed where they will not rub too sharply. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_high_leather_boots,a pair of high leather boots,"These high leather boots rise well above the ankle, with firm shafts and soles meant for riding or rough ground. The leather is shaped to the foot and lower leg, with visible stitching around the sole and up the back. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_plain_leather_sandals,a pair of plain leather sandals,"These plain leather sandals are open footwear with flat soles and simple straps across the foot. The cut is practical and spare, leaving most of the foot exposed while protecting the underside. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_hemp_sandals,a pair of woven hemp sandals,"These woven hemp sandals are light, open footwear made from braided plant-fibre straps and simple flat soles. The weave is coarse but regular, leaving the toes and much of the foot exposed. The natural hemp surface is plainly visible, with small slubs and a practical, unpolished finish."
medieval_wool_hose,a pair of $colour wool hose,"These $colour wool hose are close-fitting wool leg coverings with shaped lower portions and neatly finished upper edges. The cloth is cut to follow the leg without the bulk of full trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_chausses,a pair of $colour wool chausses,"These $colour wool chausses are close-fitting wool leg coverings with shaped lower portions and neatly finished upper edges. The cloth is cut to follow the leg without the bulk of full trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_narrow_wool_trousers,a pair of narrow $colour wool trousers,"These narrow $colour wool trousers are practical legwear with a gathered waist, straight seams, and enough room through the seat for riding or work. The legs narrow enough to sit beneath boots or wraps without excessive bunching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_tunic,a $colour wool tunic,"This $colour wool tunic is a straight wool garment made from straight body panels with sleeves set in simply at the shoulder. The neck and cuffs are simply finished, leaving the garment useful under a cloak, mantle, or belt. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_long_wool_tunic,a long $colour wool tunic,"This long $colour wool tunic is a long wool garment made from straight body panels with sleeves set in simply at the shoulder. The neck and cuffs are simply finished, leaving the garment useful under a cloak, mantle, or belt. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_heavy_wool_cloak,a heavy $colour wool cloak,"This heavy $colour wool cloak is a broad outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_simple_wool_mantle,a $colour wool mantle,"This $colour wool mantle is a broad outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_lined_cloak,a $colour fur-lined cloak,"This $colour fur-lined cloak is a broad outer cloth meant to drape over the shoulders and upper body. Fur shows at the opening and edges, adding thickness where wind would otherwise slip beneath the outer cloth. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_coif,a $colour linen coif,"This $colour linen coif is a close-fitting head covering with rounded crown panels and ties below the jaw or at the nape. The edges are narrow and smooth, keeping the cloth neat beneath a hood, cap, or veil. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_veil,a $colour linen veil,"This $colour linen veil is a light cloth head covering with a straight fall and softly folded edges. It can frame the face, cover the hair, or fall over the shoulders depending on how it is arranged. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_wimple,a $colour linen wimple,"This $colour linen wimple is a linen head and neck covering shaped by smooth folds around the throat and lower face. The fabric is light but close, leaving the outer edge neat enough to sit under a veil or hood. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_hood,a $colour wool hood,"This $colour wool hood is a wool head covering with a rounded crown and a fall that protects the neck and upper shoulders. The face opening is plainly finished, and the lower edge sits comfortably over other garments. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_felt_cap,a $colour felt cap,"This $colour felt cap is a felt cap with a firm crown and a plain lower edge. The felt is dense enough to keep its shape without much internal structure. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_rectangular_wool_cloak,a $colour rectangular wool cloak,"This $colour rectangular wool cloak is a rectangular outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_brooched_wool_mantle,a $colour brooched wool mantle,"This $colour brooched wool mantle is a broad outer cloth meant to drape over the shoulders and upper body. The fastening is plainly visible near the shoulder, gathering the cloth into heavy folds without concealing how it is held. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_tablet_banded_wool_tunic,a $colour tablet-banded tunic,"This $colour tablet-banded tunic is a tablet-banded wool garment made from straight body panels with sleeves set in simply at the shoulder. Tablet-woven bands frame the neck, cuffs, and lower hem, adding visible structure to the simple body cut. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_straight_wool_gown,a straight $colour wool gown,"This straight $colour wool gown is a long wool garment with a straight body, long sleeves, and a full lower fall. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_pinned_wool_gown,a pinned $colour wool gown,"This pinned $colour wool gown is a long wool garment with visible pinning points at the upper body. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_bordered_wool_gown,a fine $colour bordered gown,"This fine $colour bordered gown is a long wool garment with a controlled border at the neck, cuffs, and lower hem. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_wool_leg_wraps,a pair of $colour wool leg wraps,"These $colour wool leg wraps are long narrow strips of cloth made to wind around the lower legs or feet. The ends are left thin enough to tuck back under the wrapping, while the body of each strip has enough texture to grip itself. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_saerk,a $colour linen særk,"This $colour linen særk is a plain linen underdress with long sleeves, straight sides, and a simple rounded neck. It is long enough to show beneath sleeveless outer garments while still sitting close as an underlayer. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_hangerok,a $colour wool hangerok,"This $colour wool hangerok is a sleeveless wool overdress with a straight body and strap-like shoulder hangers. The upper edge and shoulder loops are plainly finished, showing how it hangs over a linen underdress. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_wool_hangerok,a fine $colour wool hangerok,"This fine $colour wool hangerok is a sleeveless wool overdress with a straight body and strap-like shoulder hangers. The upper edge and hanging loops are more carefully finished, giving it a richer look over a linen underdress. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_checked_wool_mantle,a $colour1 and $colour2 checked mantle,"This $colour1 and $colour2 checked mantle is a broad outer cloth meant to drape over the shoulders and upper body. The checked weave remains visible across the folds, breaking the broad surface into regular blocks of colour. The $colour1 and $colour2 threads are woven into an even checked pattern, giving the mantle visible contrast without relying on applied ornament."
medieval_fine_checked_wool_mantle,a fine $colour1 and $colour2 checked mantle,"This fine $colour1 and $colour2 checked mantle is a broad outer cloth meant to drape over the shoulders and upper body. The checked weave remains visible across the folds, breaking the broad surface into regular blocks of colour. The $colour1 and $colour2 threads are woven into an even checked pattern, giving the mantle visible contrast without relying on applied ornament."
medieval_gaelic_leine,a long $colour linen léine,"This long $colour linen léine is a long linen tunic with full sleeves and a generous body cut from straight panels. The length and loose fall make it useful as both underlayer and visible garment. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_bordered_leine,a fine $colour bordered léine,"This fine $colour bordered léine is a long linen tunic with full sleeves and a generous body cut from straight panels. The length and loose fall make it useful as both underlayer and visible garment. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_wool_brat,a $colour wool brat,"This $colour wool brat is a broad wool cloak-mantle with a rectangular fall and enough weight to hold a strong shoulder drape. The edges are the most visible part, especially where the cloth is folded back from the body. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_bordered_brat,a fine $colour bordered brat,"This fine $colour bordered brat is a broad wool cloak-mantle with a rectangular fall and enough weight to hold a strong shoulder drape. The edges are the most visible part, especially where the cloth is folded back from the body. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_wool_trews,a pair of $colour wool trews,"These $colour wool trews are practical legwear with a gathered waist, straight seams, and enough room through the seat for riding or work. The legs narrow enough to sit beneath boots or wraps without excessive bunching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_frankish_knee_tunic,a knee-length $colour wool tunic,"This knee-length $colour wool tunic is a knee-length wool garment made from straight body panels with sleeves set in simply at the shoulder. The neck and cuffs are simply finished, leaving the garment useful under a cloak, mantle, or belt. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_frankish_tunic,a fine $colour bordered tunic,"This fine $colour bordered tunic is a bordered wool garment made from straight body panels with sleeves set in simply at the shoulder. A neat border marks the neck, cuffs, and hem, concentrating decoration where it will not be hidden by a belt. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_carolingian_cloak,a $colour shoulder-fastened cloak,"This $colour shoulder-fastened cloak is a broad outer cloth meant to drape over the shoulders and upper body. The fastening is plainly visible near the shoulder, gathering the cloth into heavy folds without concealing how it is held. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_norman_split_tunic,a split-skirt $colour wool tunic,"This split-skirt $colour wool tunic is a split-skirt wool garment made from straight body panels with sleeves set in simply at the shoulder. The skirt is split for easier riding and striding, with the openings finished so they do not tear upward. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_split_riding_tunic,a fine split-skirt $colour tunic,"This fine split-skirt $colour tunic is a split-skirt wool garment made from straight body panels with sleeves set in simply at the shoulder. The skirt is split for easier riding and striding, with the openings finished so they do not tear upward. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_capetian_cotte,a $colour wool cotte,"This $colour wool cotte is a long wool body garment cut close enough to layer under a surcoat or mantle. The sleeves are narrow through the forearm, and the skirt has enough fullness for walking. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges. With plain seams and a serviceable fall at the cuffs, neck, and hem."
medieval_fine_wool_cotte,a fine $colour wool cotte,"This fine $colour wool cotte is a long wool body garment cut close enough to layer under a surcoat or mantle. The sleeves are narrow through the forearm, and the skirt has enough fullness for walking. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow. With a smooth, more carefully finished fall at the cuffs, neck, and hem."
medieval_linen_chainse,a $colour linen chainse,"This $colour linen chainse is made from straight, plain linen panels, with narrow sleeves and small side openings for movement. The neck is simply finished and the hem is light enough to tuck beneath heavier layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_kirtle,a $colour wool kirtle,"This $colour wool kirtle is a long wool garment with a straight body, long sleeves, and a full lower fall. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_wool_kirtle,a fine $colour wool kirtle,"This fine $colour wool kirtle is a long wool garment with a straight body, long sleeves, and a full lower fall. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_fine_bliaut,a fine $colour bliaut,"This fine $colour bliaut is a long formal gown with close upper sleeves, a fitted body, and a fuller fall below the waist. The skirt hangs in deep, ordered folds and the sleeve openings are finished with care. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_simple_surcoat,a sleeveless $colour surcoat,"This sleeveless $colour surcoat is a sleeveless wool overgarment with open sides and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_surcoat,a fine $colour silk surcoat,"This fine $colour silk surcoat is a sleeveless silk overgarment with open sides and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_half_circle_mantle,a $colour half-circle mantle,"This $colour half-circle mantle is a half-circle outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_trimmed_mantle,a $colour fur-trimmed mantle,"This $colour fur-trimmed mantle is a broad outer cloth meant to drape over the shoulders and upper body. Fur shows at the opening and edges, adding thickness where wind would otherwise slip beneath the outer cloth. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_gugel_hood,a $colour wool gugel hood,"This $colour wool gugel hood is a fitted hood with a short shoulder cape and a close face opening. The cape spreads over the upper shoulders, keeping the neck covered beneath cloaks or mantles. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_barbette_veil,a $colour linen barbette veil,"This $colour linen barbette veil combines a head veil with a band that frames the chin and temples. The cloth is light, even, and arranged to make a composed outline around the face. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_linen_veil,a fine $colour linen veil,"This fine $colour linen veil is a light cloth head covering with a straight fall and softly folded edges. It can frame the face, cover the hair, or fall over the shoulders depending on how it is arranged. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_christian_iberian_camisa,a $colour linen camisa,"This $colour linen camisa is a light linen shirt with straight-cut sleeves, a simple neck slit, and a loose body. The cloth is fine enough for warm weather or under-layering beneath woollen garments. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_saya,a $colour wool saya,"This $colour wool saya is a long wool garment with a straight body, long sleeves, and a full lower fall. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_wool_saya,a fine $colour wool saya,"This fine $colour wool saya is a long wool garment with a straight body, long sleeves, and a full lower fall. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_iberian_pellote,a sleeveless $colour pellote,"This sleeveless $colour pellote is a sleeveless wool overgarment with deep side openings and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_pellote,a fine $colour silk pellote,"This fine $colour silk pellote is a sleeveless silk overgarment with deep side openings and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_iberian_manto,a $colour wool manto,"This $colour wool manto is a broad mantle with a generous curved or rectangular fall over the shoulders. It is made to frame the upper body and cover the outer garment beneath without close tailoring. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_iberian_manto,a fine $colour silk-lined manto,"This fine $colour silk-lined manto is a broad mantle with a generous curved or rectangular fall over the shoulders. It is made to frame the upper body and cover the outer garment beneath without close tailoring. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_toca,a $colour linen toca,"This $colour linen toca is a wrapped headcloth with enough length to cover the hair and frame the sides of the face. The fabric is light and foldable, with the edge kept plain for repeated tying. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_kamision,a $colour linen kamision,"This $colour linen kamision is a linen body garment cut in straight panels with long sleeves and a plain neck opening. It is made to sit beneath heavier robes, leaving only the clean edges likely to show. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_dalmatic,a $colour wool dalmatic,"This $colour wool dalmatic is a loose robe with broad sleeves, a straight body, and a dignified fall from shoulder to hem. The cut leaves room for an underlayer, while the neck and cuffs are the clearest places for visible finishing. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_silk_dalmatic,a fine $colour silk dalmatic,"This fine $colour silk dalmatic is a loose robe with broad sleeves, a straight body, and a dignified fall from shoulder to hem. The cut leaves room for an underlayer, while the neck and cuffs are the clearest places for visible finishing. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_skaramangion,a $colour skaramangion,"This $colour skaramangion is a long, front-closing silk coat with a controlled skirt and sleeves suited to formal mounted dress. The panels are cut to hang close through the body before loosening below the waist. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_sagion,a $colour sagion,"This $colour sagion is a wool shoulder-cloak with a short, controlled fall and a visible fastening point near the upper edge. The cloth crosses the upper body cleanly without the volume of a full mantle. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_tablion_cloak,a $colour tablion cloak,"This $colour tablion cloak is a broad outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_loros_sash,a fine $colour loros sash,"This fine $colour loros sash is a long, weighty strip of silk meant to cross and loop over formal robes. Its surface is closely woven, with the edges kept straight so the band lies in controlled folds. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_maforion,a $colour maforion veil,"This $colour maforion veil is a broad head-and-shoulder veil with a long fall around the face and upper body. The cloth is cut generously enough to layer over a robe without losing its clean outline. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_maforion,a fine $colour maforion veil,"This fine $colour maforion veil is a broad head-and-shoulder veil with a long fall around the face and upper body. The cloth is cut generously enough to layer over a robe without losing its clean outline. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_soft_campagi_shoes,a pair of soft leather campagi,"These soft leather campagi are low shoes with rounded toes, open shaping at the upper, and neat straps across the foot. The leather is smoothed and carefully finished, giving the pair a cleaner appearance than ordinary work shoes. Natural variations in the leather show along the seams, toe creases, and cut edges."
medieval_linen_qamis,a $colour linen qamis,"This $colour linen qamis is a long, loose shirt-like garment with straight side seams, long sleeves, and a simple neck opening. The cloth hangs freely from the shoulders and can be belted or left loose over trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_cotton_qamis,a $colour cotton qamis,"This $colour cotton qamis is a long, loose shirt-like garment with straight side seams, long sleeves, and a simple neck opening. The cloth hangs freely from the shoulders and can be belted or left loose over trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_qamis,a fine $colour silk qamis,"This fine $colour silk qamis is a long, loose shirt-like garment with straight side seams, long sleeves, and a simple neck opening. The cloth hangs freely from the shoulders and can be belted or left loose over trousers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_sirwal,a pair of $colour cotton sirwal,"These $colour cotton sirwal are loose drawstring trousers with a roomy seat and tapered lower legs. The cloth gathers softly at the waist and falls in practical folds around the thighs. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_sirwal,a pair of fine $colour silk sirwal,"These fine $colour silk sirwal are loose drawstring trousers with a roomy seat and tapered lower legs. The cloth gathers softly at the waist and falls in practical folds around the thighs. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_wool_jubba,a $colour wool jubba,"This $colour wool jubba is a loose wool robe with long sleeves, a straight body, and a generous front opening. It is cut to layer over lighter garments, with the edges and cuffs given the most visible finish. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
