uniqueReference,sdesc,fdesc
medieval_heavy_sagion,a heavy $colour sagion cloak,"This heavy $colour sagion cloak is a substantial wool shoulder-cloak with a dense fall and weather-ready weight. It gathers near one shoulder and hangs in broad folds across the body. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_heavy_wool_burnous,a heavy $colour wool burnous,"This heavy $colour wool burnous is a heavy wool cloak with a hooded upper edge and a loose body meant to wrap around the shoulders. The cloth falls in deep folds and leaves the front easy to draw close against wind or dust. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_padded_wool_jubba,a padded $colour wool jubba,"This padded $colour wool jubba is a substantial robe with quilted thickness through the body and sleeves. The front hangs open or overlaps in heavy folds, making it suitable as a cool-season outer layer. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_izar_wrap,a thick $colour wool izar,"This thick $colour wool izar is a broad thick wool wrap with enough length to pass around the body and fall in layered folds. The edges are plain and straight, letting the drape and overlap form most of the garment's shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_lined_caftan,a fine $colour fur-lined caftan,"This fine $colour fur-lined caftan is a front-opening coat with warm fur visible at the collar, cuffs, and inner edge. The skirt is cut for riding and walking, with side fullness that keeps the garment from binding. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_felt_winter_deel,a $colour felt-lined steppe robe,"This $colour felt-lined steppe robe is a heavy belted outer robe with a dense inner lining and a front that wraps across the body. The sleeves and skirt are roomy, allowing it to sit over trousers and other cold-weather layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_quilted_winter_trousers,a pair of quilted $colour winter trousers,"These quilted $colour winter trousers are padded legwear stitched in rows to hold the filling evenly. They are cut roomy enough to pull over lighter layers, with reinforced hems where boots would rub. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_earflap_hat,a fur earflap hat,"This fur earflap hat is a warm head covering with soft fur over the crown and flaps that fall to cover the ears. The shape is practical and rounded, with edges made thick enough to block wind. Natural variations in the fur show at the tips, seams, and places where the nap changes direction."
medieval_felt_stockings,a pair of thick felt stockings,"These thick felt stockings are close, warm leg coverings made from dense felt with a soft but compact surface. They are shaped to sit inside boots or beneath trousers, with plain edges and little ornament. The natural felt surface is plainly visible, with a practical, unpolished finish."
medieval_wool_shawl,a thick $colour wool shawl,"This thick $colour wool shawl is a rectangular wrap with enough breadth to cover the shoulders and upper body. The cloth is thick and soft, falling in warm folds when drawn close. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_thick_cotton_shawl,a thick $colour cotton shawl,"This thick $colour cotton shawl is a rectangular wrap with enough breadth to cover the shoulders and upper body. The cloth is thick and soft, falling in warm folds when drawn close. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_goat_hair_shawl,a fine $colour goat-hair shawl,"This fine $colour goat-hair shawl is a rectangular wrap with enough breadth to cover the shoulders and upper body. The cloth is thick and soft, falling in warm folds when drawn close. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_heavy_cotton_angavastram,a thick $colour cotton angavastram,"This thick $colour cotton angavastram is a broad shoulder cloth that can be folded, draped, or drawn around the upper body. The cloth is rectangular and plainly edged, relying on the wearer's wrapping for its final shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_padded_silk_overrobe,a padded $colour silk over-robe,"This padded $colour silk over-robe is a substantial outer robe with padded body panels and long sleeves. The added thickness gives the robe a rounded fall and makes the edges sit away from the underlayers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_heavy_beizi_overrobe,a heavy $colour beizi over-robe,"This heavy $colour beizi over-robe is a long over-robe with a straight open front, narrow sleeves, and side slits that let the underlayers move. The cloth falls in vertical lines from shoulder to lower hem, giving the garment a composed outer silhouette. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_padded_po_robe,a padded $colour po robe,"This padded $colour po robe is a long over-robe with broad sleeves, a wrapped front, and a steady fall below the knee. It is cut to sit over a jacket and trousers or skirt, adding a cleaner outer line. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_lined_kosode,a lined $colour kosode robe,"This lined $colour kosode robe is a straight-seamed robe with small sleeve openings, a wrapped front, and an added lining for warmth. The collar runs in a clean diagonal line, and the sleeves hang in measured rectangles. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_layered_uchigi_set,a layered $colour uchigi set,"This layered $colour uchigi set is a group of formal silk robe layers with straight panels and broad sleeves. The nested collars and hems create visible tiers, making the colour strongest where several layers overlap. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_work_apron,a $colour linen work apron,"This $colour linen work apron is a plain protective cloth with a straight fall over the front of the body. The upper edge and ties are simple, keeping the garment easy to put on over ordinary working clothes. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_hemp_work_apron,a coarse hemp work apron,"This hemp work apron is a coarse protective layer with a straight bib or waist fall and plain ties. The cloth is sturdy, rough-textured, and meant to take stains before the clothing beneath does. The natural hemp surface is plainly visible, with small slubs and a practical, unpolished finish."
medieval_leather_smith_apron,a leather smith's apron,"This leather smith's apron is a heavy protective apron cut from sturdy leather with a broad chest and long lower fall. The surface is plain and tough, with visible creases and scuffs where tools, heat, and work would mark it. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_linen_sleeve_guards,a pair of $colour linen sleeve guards,"These $colour linen sleeve guards are narrow protective wraps for the forearms, made to cover cuffs and keep sleeves close during work. The cloth is light and washable, with simple ties or tucked ends controlling the fit. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_leather_work_gloves,a pair of leather work gloves,"These leather work gloves are plain hand coverings with sturdy palms, short cuffs, and practical seams between the fingers. The leather is thick enough to protect against abrasion without becoming armour. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_clean_linen_coif,a clean $colour linen coif,"This clean $colour linen coif is a close-fitting head covering with rounded crown panels and ties below the jaw or at the nape. The edges are narrow and smooth, keeping the cloth neat beneath a hood, cap, or veil. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_work_cap,a $colour linen work cap,"This $colour linen work cap is a simple cloth cap with a rounded crown and a narrow lower edge. It is cut for everyday wear, sitting close to the head without broad brim or heavy ornament. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wide_work_sash,a wide $colour work sash,"This wide $colour work sash is a broad wool band meant to gather loose clothing close to the body. The weave is firm rather than delicate, with squared ends and enough breadth to spread pressure across the waist. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_canvas_work_tabard,a $colour canvas work tabard,"This $colour canvas work tabard is a loose sleeveless canvas overgarment with open sides and a straight fall from the shoulders. It is cut to protect the front and back of clothing while leaving the arms free for work. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_drab_dyers_apron,a stained $colour dye-worker's apron,"This stained $colour dye-worker's apron is a linen work layer marked by uneven colour and old splashes in the cloth. It has a plain protective fall and simple ties, prioritising coverage over neat display. The $colour tone is uneven and work-stained, strongest along the creases, edges, and places most handled."
medieval_short_wool_work_tunic,a short $colour wool work tunic,"This short $colour wool work tunic is a short wool garment made from straight body panels with sleeves set in simply at the shoulder. The proportions are tidier than a field garment, with the hem kept clear enough for work in streets or workshops. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_clean_town_wool_tunic,a neat $colour town tunic,"This neat $colour town tunic is a straight wool garment made from straight body panels with sleeves set in simply at the shoulder. The proportions are tidier than a field garment, with the hem kept clear enough for work in streets or workshops. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_tucked_wool_work_gown,a tucked $colour work gown,"This tucked $colour work gown is a long wool garment with a skirt that can be tucked up clear of work. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_market_veil,a plain $colour market veil,"This plain $colour market veil is a simple rectangular cloth for covering the hair and shoulders during public work. The edges are narrow and practical, with no heavy ornament to snag or weigh it down. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_brooched_market_mantle,a neat $colour brooched mantle,"This neat $colour brooched mantle is a broad outer cloth meant to drape over the shoulders and upper body. The fastening is plainly visible near the shoulder, gathering the cloth into heavy folds without concealing how it is held. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_leather_trader_belt,a broad leather trader's belt,"This broad leather trader's belt is cut wider than a common waist strap, with a firm body and a plain fastening. The edges are rubbed smooth and the outer face shows creases from being drawn tight over working clothes. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_wool_market_headcloth,a $colour wool market headcloth,"This $colour wool market headcloth is a square or rectangular cloth for covering the head and tying close at the neck or nape. The edges are plainly hemmed, and the folds can be drawn low for shade or kept tidy for town wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_town_leine,a clean $colour town léine,"This clean $colour town léine is a long linen tunic with full sleeves and a generous body cut from straight panels. The length and loose fall make it useful as both underlayer and visible garment. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_work_wool_cotte,a plain $colour wool work cotte,"This plain $colour wool work cotte is a long wool body garment cut close enough to layer under a surcoat or mantle. The sleeves are narrow through the forearm, and the skirt has enough fullness for walking. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges. With plain seams and a serviceable fall at the cuffs, neck, and hem."
medieval_town_work_kirtle,a tucked $colour work kirtle,"This tucked $colour work kirtle is a long wool garment with a skirt that can be tucked up clear of work. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_sleeveless_work_surcoat,a plain $colour sleeveless work surcoat,"This plain $colour sleeveless work surcoat is a sleeveless wool overgarment with open sides and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_plain_wool_shop_gown,a neat $colour wool shop gown,"This neat $colour wool shop gown is a long wool garment with a tidy fall suitable for counter, desk, or workshop wear. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_clerk_wool_gown,a plain $colour clerk's gown,"This plain $colour clerk's gown is a long wool garment with a tidy fall suitable for counter, desk, or workshop wear. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_neat_wool_town_hood,a neat $colour wool town hood,"This neat $colour wool town hood is a wool head covering with a rounded crown and a fall that protects the neck and upper shoulders. The face opening is plainly finished, and the lower edge sits comfortably over other garments. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_merchants_wool_hood,a fine $colour merchant's hood,"This fine $colour merchant's hood is a neatly cut wool hood with a controlled face opening and a tidy shoulder fall. The finish is cleaner than rough weather wear, with attention at the edge most visible around the face. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_shop_wimple,a clean $colour shop wimple,"This clean $colour shop wimple is a linen head and neck covering shaped by smooth folds around the throat and lower face. The fabric is light but close, leaving the outer edge neat enough to sit under a veil or hood. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_baker_cap,a $colour linen baker's cap,"This $colour linen baker's cap is a light work cap with a soft crown and a narrow band to hold it close. The cloth is washable-looking and plain, suited to keeping hair contained around flour and ovens. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_light_linen_work_camisa,a light $colour linen work camisa,"This light $colour linen work camisa is a light linen shirt with straight-cut sleeves, a simple neck slit, and a loose body. The cloth is fine enough for warm weather or under-layering beneath woollen garments. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_cotton_market_toca,a $colour cotton market toca,"This $colour cotton market toca is a wrapped headcloth with enough length to cover the hair and frame the sides of the face. The fabric is light and foldable, with the edge kept plain for repeated tying. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_work_pellote,a plain $colour wool work pellote,"This plain $colour wool work pellote is a sleeveless wool overgarment with deep side openings and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_plain_work_dalmatic,a plain $colour work dalmatic,"This plain $colour work dalmatic is a loose robe with broad sleeves, a straight body, and a dignified fall from shoulder to hem. The cut leaves room for an underlayer, while the neck and cuffs are the clearest places for visible finishing. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_short_work_sagion,a short $colour work sagion,"This short $colour work sagion is a compact wool cloak cut to cover the shoulders without hanging too low over the arms. The edges are plain and the fastening area is kept simple for daily town wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_shop_maforion,a plain $colour shop maforion,"This plain $colour shop maforion is a broad head-and-shoulder veil with a long fall around the face and upper body. The cloth is cut generously enough to layer over a robe without losing its clean outline. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_short_cotton_work_qamis,a short $colour cotton work qamis,"This short $colour cotton work qamis is a short, workmanlike shirt-like garment with straight side seams, long sleeves, and a simple neck opening. The cloth hangs freely from the shoulders and can be belted or left loose over trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_work_sirwal,a pair of $colour linen work sirwal,"These $colour linen work sirwal are loose drawstring trousers with a roomy seat and tapered lower legs. The cloth gathers softly at the waist and falls in practical folds around the thighs. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_shop_turban,a clean $colour linen shop turban,"This clean $colour linen shop turban is a long cloth headwrap wound in layered folds around the crown. The length gives it a full profile without needing a stiff frame, and the tail can be tucked neatly into the wrapping. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_waist_apron,a $colour cotton waist apron,"This $colour cotton waist apron is a plain protective cloth with a straight fall over the front of the body. The upper edge and ties are simple, keeping the garment easy to put on over ordinary working clothes. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_sleeveless_work_jubba,a sleeveless $colour work jubba,"This sleeveless $colour work jubba is a loose wool overgarment with open armholes and a straight body. It is cut to add a protective layer over a qamis while leaving the arms free for labour. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_bazaar_merchant_jubba,a neat $colour bazaar jubba,"This neat $colour bazaar jubba is a loose wool robe with long sleeves, a straight body, and a generous front opening. It is cut to layer over lighter garments, with the edges and cuffs given the most visible finish. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_scribe_linen_sleeves,a pair of $colour linen scribe sleeves,"These $colour linen scribe sleeves are separate forearm coverings made to protect robe or tunic sleeves from ink and desk wear. The fabric is light, smooth, and gathered just enough to stay clear of the hands. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_market_izar_wrap,a $colour market izar wrap,"This $colour market izar wrap is a broad linen wrap with enough length to pass around the body and fall in layered folds. The edges are plain and straight, letting the drape and overlap form most of the garment's shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_short_work_caftan,a short $colour work caftan,"This short $colour work caftan is a practical front-opening coat with a trimmed skirt and sleeves kept clear of the hands. It fastens close enough for movement in a market or workshop, without the length of a formal robe. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_rus_town_rubakha,a neat $colour town rubakha,"This neat $colour town rubakha is a long shirt-like garment with a slit neck, narrow cuffs, and straight body panels. The hem falls low enough to blouse over a belt, and the sleeves are cut for work beneath a heavier coat. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_tucked_poneva_work_skirt,a tucked $colour poneva work skirt,"This tucked $colour poneva work skirt is a wrapped wool skirt arranged to keep the lower edge clear of dirty floors or tools. The cloth overlaps at the waist and falls in practical folds across the hips. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_furriers_leather_apron,a leather furrier's apron,"This leather furrier's apron is a broad work apron with a long fall and smooth enough surface to shed hair and scraps. The upper edge sits high on the body, while the lower portion is plain and durable. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_felt_market_cap,a neat $colour felt market cap,"This neat $colour felt market cap is a market felt cap with a firm crown and a plain lower edge. The felt is dense enough to keep its shape without much internal structure. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_wide_leather_work_belt,a wide leather work belt,"This wide leather work belt is a broad strap of sturdy leather with a plain buckle and reinforced holes. It is shaped to sit firmly over work clothes, with scuffed edges and a practical, unadorned face. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_mounted_trader_coat,a neat $colour mounted trader's coat,"This neat $colour mounted trader's coat is a long wool coat with a practical front opening and a skirt cut for sitting in a saddle. The cloth is better finished than field wear, but the seams remain sturdy and work-minded. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_short_cotton_work_dhoti,a short $colour cotton work dhoti,"This short $colour cotton work dhoti is a short work lower garment made from a rectangular length of cotton. The fabric is folded and passed around the waist and legs, making its shape depend on the wrapping rather than stitching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_cotton_work_waistcloth,a $colour cotton workshop waistcloth,"This $colour cotton workshop waistcloth is a practical rectangular wrap for tying around the waist while working. The cloth is light enough to tuck up, and the edges are plainly finished to survive repeated washing and tying. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_weavers_cotton_shouldercloth,a $colour weaver's shouldercloth,"This $colour weaver's shouldercloth is a practical cotton drape sized to cover one shoulder and part of the chest. The cloth is light, foldable, and easy to shift aside while working with thread or tools. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_market_cotton_turban,a clean $colour market turban,"This clean $colour market turban is a long cloth headwrap wound in layered folds around the crown. The length gives it a full profile without needing a stiff frame, and the tail can be tucked neatly into the wrapping. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_trade_bordered_uttariya,a $colour trade-bordered uttariya,"This $colour trade-bordered uttariya is a long draped shoulder cloth meant to pass over one or both shoulders. The edges are kept straight, and the fabric is light enough to fold without making a bulky knot. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_south_indian_work_veshti,a tucked $colour cotton work veshti,"This tucked $colour cotton work veshti is a rectangular cotton lower cloth wrapped around the waist and falling in straight folds. The edges are clean and visible, and the front can be tucked to keep the hem clear for movement. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_cotton_bazaar_sari,a tucked $colour cotton bazaar sari,"This tucked $colour cotton bazaar sari is a long wrapped garment with enough length to form both lower drape and upper fold. The cloth relies on pleating, tucking, and wrapping rather than seams, leaving the edge visible along the fall. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_work_shan_jacket,a plain $colour work shan jacket,"This plain $colour work shan jacket is a short cross-collar jacket with straight sleeves, a wrapped front, and a tidy waist-length body. The garment is cut for movement, with the front overlap and cuffs giving it most of its visible shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_short_work_trousers,a pair of short $colour work trousers,"These short $colour work trousers are practical trousers cut shorter through the lower leg for workshop and market movement. The waist is gathered plainly, and the hems are kept simple so they can be tucked or left loose. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_shopkeeper_robe,a neat $colour shopkeeper's robe,"This neat $colour shopkeeper's robe is a long silk robe with orderly sleeves, a tidy collar, and a fall suited to indoor trade or counter work. It is more polished than a labourer's jacket but less ornate than court dress. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_song_merchant_headscarf,a neat $colour merchant headscarf,"This neat $colour merchant headscarf is a square or rectangular cloth for covering the head and tying close at the neck or nape. The edges are plainly hemmed, and the folds can be drawn low for shade or kept tidy for town wear. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_song_cotton_work_apron,a $colour cotton work apron,"This $colour cotton work apron is a plain protective cloth with a straight fall over the front of the body. The upper edge and ties are simple, keeping the garment easy to put on over ordinary working clothes. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_work_jeogori,a plain $colour work jeogori,"This plain $colour work jeogori is a short cross-collar jacket with narrow sleeves and ties at the front. The body ends high at the waist, leaving room for trousers or a skirt below. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_work_baji,a pair of $colour work baji,"These $colour work baji are loose trousers with a gathered waist, full seat, and narrowing lower legs. The cloth is cut for easy movement beneath a jacket or robe, with plain seams and practical hems. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_market_chima,a plain $colour market chima,"This plain $colour market chima is a full skirt with a gathered upper edge and a broad fall from waist to lower hem. The fabric spreads in soft folds and is meant to sit below a short jacket or over-robe. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_shop_po,a neat $colour shop po,"This neat $colour shop po is a long over-robe with broad sleeves, a wrapped front, and a steady fall below the knee. It is cut to sit over a jacket and trousers or skirt, adding a cleaner outer line. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_japanese_work_kosode,a plain $colour work kosode,"This plain $colour work kosode is a straight-seamed robe with small sleeve openings, a wrapped front, and a narrow collar. The body is made from rectangular panels, giving it a clean fall and visible folded overlap at the chest. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_japanese_work_hakama,a pair of $colour work hakama,"These $colour work hakama are divided skirt-like trousers with deep folds falling from the waist. The legs are broad and straight, giving the garment a formal drape while still allowing movement. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_japanese_hemp_work_apron,a hemp work apron,"This hemp work apron is a coarse protective layer with a straight bib or waist fall and plain ties. The cloth is sturdy, rough-textured, and meant to take stains before the clothing beneath does. The natural hemp surface is plainly visible, with small slubs and a practical, unpolished finish."
medieval_japanese_yumaki_wrap,a $colour yumaki waist wrap,"This $colour yumaki waist wrap is a simple hemp cloth tied around the waist as an apron-like working layer. The fabric is rectangular, foldable, and light enough to overlap without becoming bulky. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
